,fih_season1,object_id,fih_hectares
0,999,8999,434.033856472447
1,AU,15874,1085.4552401065562
2,EDR,2089,10755.09307462433
3,LDR,8176,1713.9478810665246
4,ND,21003,6.145838590912256
5,SP,48445,1180.8528726355062
6,SU,38015,736.1501401830785
7,WI,5752,2315.2604529926225
8,WT,17104,1021.7767815943091
